x,y,z
23.07,178.32,10.76094679
97.63,4.69,8.52358305
94.59,9.21,7.951456654
197.47,64.05,7.097389267
88.49,11.85,9.940280509
93.61,4.47,9.272149358
190.14,82.38,7.925844646
8.13,110.14,7.012446376
181.63,93.44,8.116015494
198.83,61.04,6.944537642
7.3,9.63,6.776157126
2.18,13.95,7.857697934
148.83,113.27,6.792544116
158.46,94.63,6.93823654
28.99,123.14,6.648217056
170.68,93.94,6.656730047
197.22,156.62,9.850638699
164.95,95.29,6.649682657
31.09,180.05,9.669850293
25.23,120.97,6.712667552
24.6,124.09,6.76869462
157.85,92.25,6.574712385
1.36,179.24,6.570030994
112.63,83.92,6.709441521
16.72,117.78,6.366094697
170.42,104.97,6.530840925
113.85,85.7,6.24395791
51.55,32.42,6.179908162
14.34,125.71,6.29226109
123.3,87.5,6.325374688
187.7,74.4,6.163358053
137.75,161.01,6.09925886
132.02,185.47,6.047179892
11.72,5.69,6.126058162
61.37,38.74,6.090914086
144.82,110.17,6.082276606
32.47,133.37,5.822832588
150.35,155.54,5.833624126
199.11,104.48,5.912365714
46.4,120.95,5.919789559
135.17,103.37,6.219125006
2.51,56,5.905324559
71.86,110.75,5.919063853
28.84,113.36,6.01909731
49.72,59.65,6.013173326
124.22,175.46,5.797864114
125.69,166.15,5.742524357
143.83,156.58,5.850379797
102.07,139.73,5.854229016
107.52,157.68,5.656678036
183.49,154.44,5.789832217
63.41,36.16,5.719659488
193.65,190.01,6.07937018
58.99,67.3,5.668780976
20.8,197.83,5.616643949
103.63,17.42,5.800465985
194.35,156.15,5.655666661
179.3,99.15,5.687294906
77.43,14.09,5.8550301
64.56,22.13,5.527250037
149.58,124.99,5.654658948
177.86,154.56,5.577205531
45.27,48.6,5.686702597
14,50.26,5.535440317
77.8,110.19,5.626845829
33.26,106.48,5.675678239
120.75,21.63,5.632084095
65.35,136.67,5.6186162
25.57,190.08,5.455053109
156.58,59.13,5.35577935
128.24,21.52,5.431877276
56.88,103.83,5.309018747
190.91,159.89,5.442118032
94.78,129.51,5.571484487
143.75,44.32,5.300055512
169.62,166.97,5.483823904
110.69,155.44,5.443381762
110.07,30.06,5.288576278
174.68,155.44,5.357289375
7.79,94.55,5.405148228
41.4,2.11,5.38575364
51.33,53.17,5.309340962
181.65,193.78,5.5173244
125.82,66.2,5.305266372
75.84,146.79,5.200265172
112.92,38.85,5.323423219
180.74,73.74,5.197211648
123.25,167.99,5.394560141
142.83,128.1,5.125422677
141.31,123.91,5.270942429
45.14,80.75,5.052841439
21,81.44,5.243157809
198.14,48.66,5.137148651
101.19,176.59,5.278098054
53.88,24.93,5.190750382
178.53,165.86,5.187754413
109.75,132.78,5.133122226
189.65,160.86,5.4342657
126.24,57.63,5.216872336
0.08,190.79,5.03182843
37.65,0.42,5.171738731
112.53,10.65,5.057313174
33.23,193.79,5.132630429
111.49,103.19,4.956290734
45.31,112.64,4.983165399
53.35,6.24,4.868065292
78.8,43.62,4.880059885
93.42,38.75,5.164331768
17.63,104.98,4.912512108
75.21,32.87,4.818829106
109.92,148.19,4.860111802
47.65,110.52,4.777524239
0.66,143.12,4.842760363
72.85,43.69,4.781093737
100.4,154.49,4.82342189
24.17,158.17,4.651137227
106.52,177.65,4.711224832
117.17,170.15,4.725333107
131,136.63,4.654241507
125.87,134.33,4.605549052
129.69,44.9,4.748127799
44.95,109.95,4.559907978
73.62,179.17,4.504018739
50.37,178.29,4.50824303
70.05,154.52,4.737792499
115.43,163.12,4.568249843
157.69,19.29,4.560386332
170.95,130.34,4.599790234
93.56,159.18,6.547490136
95.55,150.34,5.477755054
74.29,32.45,4.465845436
132.72,91.62,4.462879747
41.54,103,4.1914633
83.86,95.95,4.36576866
80.68,182.02,4.526834772
151.18,28.04,4.220956141
54.96,81.03,4.268669631
71.68,64.33,4.214343887
82.67,152.42,3.851142718
168.87,184.58,4.229616463
57,163.85,3.774056548
7.64,157.79,3.889796137
94.47,156.32,3.883255212
184.86,60.83,3.981645002
65.18,147.09,3.719857313
32.31,176.07,9.677748868
1.54,14.25,7.096675032
112.48,17.54,10.2172317
163.84,88.82,10.04718153
